model,brand,year,transmission,mileage,fuel_type,price
Honda City 1.5,Honda,2009,Manual,55000,Petrol,270000
Tata Zest XE,Tata,2017,Manual,120000,Diesel,290000
Mahindra Quanto C4,Mahindra,2013,Manual,63000,Diesel,325000
Tata Indigo eCS,Tata,2016,Manual,104000,Diesel,160000
Maruti Suzuki Swift,Maruti,2016,Automatic,146000,Diesel,350000
Hyundai Elite i20,Hyundai,2011,Manual,40000,Petrol,290000
Hyundai i20 Select,Hyundai,2011,Manual,40000,Petrol,290000
Chevrolet Tavera Neo,Chevrolet,2007,Manual,100800,Diesel,465000
Maruti Suzuki Dzire,Maruti,2016,Manual,150000,Diesel,325000
Hyundai Elite i20,Hyundai,2018,Manual,2100,Petrol,510000
Honda City VX,Honda,2016,Manual,95000,Petrol,860000
Maruti Suzuki Dzire,Maruti,2016,Manual,2500,Diesel,450000
Hyundai Getz,Hyundai,2006,Manual,80000,Petrol,125000
Mercedes Benz C,Mercedes,2006,Manual,15000,Petrol,500001
Maruti Suzuki Alto,Maruti,2005,Manual,65000,Petrol,95000
Maruti Suzuki Swift,Maruti,2009,Automatic,51000,Diesel,250000
Skoda Fabia,Skoda,2009,Manual,45000,Petrol,110000
Maruti Suzuki Ritz,Maruti,2011,Manual,50000,Petrol,270000
Tata Indica V2,Tata,2009,Manual,30000,Diesel,110000
Toyota Corolla Altis,Toyota,2009,Manual,132000,Petrol,300000
Tata Zest XM,Tata,2018,Manual,27000,Diesel,260000
Mahindra Quanto C8,Mahindra,2013,Manual,40000,Diesel,390000
